level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2500	3295	-1	
2	1	1	0	0	0	259	300	369	6	-1	
3	1	1	1	0	0	259	300	369	6	-1	
4	1	1	1	1	0	259	300	369	6	-1	
5	1	1	1	1	1	259	300	369	6	95.000000	 
2	1	2	0	0	0	922	301	377	4	-1	
3	1	2	1	0	0	922	301	377	4	-1	
4	1	2	1	1	0	922	301	377	4	-1	
5	1	2	1	1	1	922	301	377	4	95.000000	 
2	1	3	0	0	0	259	284	1981	147	-1	
3	1	3	1	0	0	259	284	1981	147	-1	
4	1	3	1	1	0	259	284	1981	60	-1	
5	1	3	1	1	1	259	284	83	52	96.080086	नीचे
5	1	3	1	1	2	351	287	46	50	96.860519	दी
5	1	3	1	1	3	407	284	57	59	96.695023	गई
5	1	3	1	1	4	474	285	154	52	96.496162	तालिका
5	1	3	1	1	5	638	284	58	52	96.496162	को
5	1	3	1	1	6	706	284	114	60	94.519295	देखिए
5	1	3	1	1	7	835	284	77	53	92.264336	और
5	1	3	1	1	8	922	284	173	52	88.739021	संख्याओं
5	1	3	1	1	9	1104	284	58	52	96.865997	को
5	1	3	1	1	10	1173	284	126	53	96.288078	लिखने
5	1	3	1	1	11	1309	284	44	52	93.293831	के
5	1	3	1	1	12	1363	285	141	51	88.687195	प्रतिरूप
5	1	3	1	1	13	1514	301	51	36	95.324265	पर
5	1	3	1	1	14	1579	300	94	36	93.155861	ध्यान
5	1	3	1	1	15	1684	285	129	59	79.009552	दीजिए।
5	1	3	1	1	16	1830	287	147	50	90.653427	स्थानीय
5	1	3	1	1	17	1987	301	76	35	96.691193	मान
5	1	3	1	1	18	2073	287	122	50	96.169601	सारणी
5	1	3	1	1	19	2205	284	35	52	96.944572	में
4	1	3	1	2	0	259	367	926	64	-1	
5	1	3	1	2	1	259	367	90	55	96.243645	हमने
5	1	3	1	2	2	357	384	72	43	96.879410	एक
5	1	3	1	2	3	441	368	175	52	79.630295	अतिरिक्त
5	1	3	1	2	4	625	373	91	47	91.491806	स्तंभ
5	1	3	1	2	5	724	384	65	36	96.350258	दस
5	1	3	1	2	6	797	384	101	38	93.274460	हजार
5	1	3	1	2	7	912	381	112	50	91.793678	(द.ह.)
5	1	3	1	2	8	1037	367	100	60	93.302910	जोड़ा
5	1	3	1	2	9	1146	367	39	55	92.563309	है।
2	1	4	0	0	0	371	491	677	84	-1	
3	1	4	1	0	0	371	491	677	84	-1	
4	1	4	1	1	0	371	491	677	34	-1	
5	1	4	1	1	1	371	493	65	32	0.000000	>0
5	1	4	1	1	2	554	493	66	32	3.167143	0
5	1	4	1	1	3	769	492	65	32	0.000000	>[0
5	1	4	1	1	4	983	491	65	32	0.000000	>[0
4	1	4	1	2	0	537	526	325	49	-1	
5	1	4	1	2	1	533	522	36	72	34.152012	९
2	1	5	0	0	0	1308	506	568	116	-1	
3	1	5	1	0	0	1308	506	568	116	-1	
4	1	5	1	1	0	1308	506	568	49	-1	
5	1	5	1	1	1	1308	521	12	31	20.714451	|
5	1	5	1	1	2	1494	518	39	32	0.000000	[0
5	1	5	1	1	3	1544	506	120	49	95.887146	इकाई
5	1	5	1	1	4	1643	502	15	57	44.864727	न
5	1	5	1	1	5	1681	518	12	31	0.000000	|
5	1	5	1	1	6	1707	506	113	49	88.634430	दहाई
5	1	5	1	1	7	1803	502	19	57	83.181602	>
5	1	5	1	1	8	1837	518	39	32	0.000000	0
4	1	5	1	2	0	1473	575	400	47	-1	
5	1	5	1	2	1	1473	575	400	47	0.000000	व]
5	1	5	1	2	2	1819	571	58	61	0.000000	]]
2	1	6	0	0	0	262	574	942	7	-1	
3	1	6	1	0	0	262	574	942	7	-1	
4	1	6	1	1	0	262	574	942	7	-1	
5	1	6	1	1	1	262	574	942	7	95.000000	 
2	1	7	0	0	0	306	604	820	72	-1	
3	1	7	1	0	0	306	604	820	72	-1	
4	1	7	1	1	0	306	604	820	72	-1	
5	1	7	1	1	1	306	625	99	40	85.263878	द.ह.
5	1	7	1	1	2	450	606	23	72	68.532867	|
5	1	7	1	1	3	522	625	42	40	89.150162	ह.
5	1	7	1	1	4	701	604	55	72	95.783051	सै.
5	1	7	1	1	5	896	625	43	39	45.714493	द
5	1	7	1	1	6	1085	625	41	46	54.672005	ड़
2	1	8	0	0	0	262	703	942	6	-1	
3	1	8	1	0	0	262	703	942	6	-1	
4	1	8	1	1	0	262	703	942	6	-1	
5	1	8	1	1	1	262	703	942	6	95.000000	 
2	1	9	0	0	0	262	816	942	6	-1	
3	1	9	1	0	0	262	816	942	6	-1	
4	1	9	1	1	0	262	816	942	6	-1	
5	1	9	1	1	1	262	816	942	6	95.000000	 
2	1	10	0	0	0	262	928	942	6	-1	
3	1	10	1	0	0	262	928	942	6	-1	
4	1	10	1	1	0	262	928	942	6	-1	
5	1	10	1	1	1	262	928	942	6	95.000000	 
2	1	11	0	0	0	1274	570	944	573	-1	
3	1	11	1	0	0	1274	570	944	573	-1	
4	1	11	1	1	0	1274	570	944	573	-1	
5	1	11	1	1	1	1274	570	944	573	95.000000	  
2	1	12	0	0	0	262	1041	942	6	-1	
3	1	12	1	0	0	262	1041	942	6	-1	
4	1	12	1	1	0	262	1041	942	6	-1	
5	1	12	1	1	1	262	1041	942	6	95.000000	 
